Fashion,Leisure,Stretch,Original
182,1528,496,2203
129,2247,296,1890
107,1652,267,2342
117,1744,419,2119
110,1736,755,1781
79,1637,613,2138
73,2484,468,1216
64,2675,209,1504
100,1795,561,1933
126,1789,180,2405
37,1528,41,1752
106,1930,409,2064
105,1969,643,1670
1,1060,234,955
78,2390,406,1428
78,1631,3,1634
139,1747,486,1997
61,1918,303,2220
68,1957,587,1812
127,2175,319,1747
102,2442,481,1364
65,2226,188,1782
87,2128,327,1813
144,2024,503,1785
68,1989,595,1881
96,1717,863,1843
78,2225,454,1693
86,1543,713,2041
69,1838,333,2090
73,1746,274,2249
66,2243,254,1949
67,1726,269,2442
87,2000,340,2056
99,1792,500,2002
97,2089,461,1733
52,2589,279,1480
76,1215,828,2312
83,1503,13,1836
91,1819,270,2276
161,1613,709,2005
45,1530,791,2056
85,1610,632,2072
112,2101,186,1940
54,1864,768,1786
73,2152,348,1835
126,1376,800,2179
65,1717,6,1584
147,1932,382,1870
46,1846,485,2033
92,2649,162,1510
83,2152,534,1649
87,2014,787,1507
50,1624,380,2286
101,2047,468,1878
127,1811,317,2023
113,1943,367,1952
91,2026,394,1922
158,2532,258,1478
109,1556,719,2010
123,1472,1118,1627
104,2232,339,1686
2,1009,249,992
67,1409,884,2038
129,2528,304,1540
61,1184,426,2715
136,2256,307,1658
99,1768,643,2004
39,1874,659,1754
105,1888,254,2105
1,1057,227,863
84,1698,616,2016
66,2019,543,1803
93,2525,371,1552
102,2248,430,1579
77,1544,24,1765
81,2564,459,1316
197,2055,339,1793
76,1394,726,2226
52,1959,730,1647
106,2418,332,1570
122,1369,862,2054
63,2146,338,1766
128,2093,384,1789
59,1798,326,2216
41,2049,700,1550
67,1918,420,1917
135,2446,294,1521
109,2165,333,1715
63,1813,6,1468
89,2116,449,1603
61,1656,909,1840
65,2597,356,1320
4,672,378,1157
79,2027,723,1476
59,1443,21,1939
69,2006,534,1676
158,1896,674,1627
58,1764,704,1793
61,1942,408,1980
122,1826,442,2007
140,2146,455,1573
111,1978,24,1253
91,1752,706,1859
108,1244,425,2570
52,1829,711,1888
106,2643,273,1324
122,1661,518,2083
56,1358,17,1954
82,1478,1044,1833
79,1945,354,2098
81,2000,574,1656
90,2025,444,1898
48,1442,703,2215
88,2016,466,1891
72,1872,130,1245
77,2105,750,1502
79,2519,300,1421
83,2817,307,1223
62,1813,28,1352
110,2013,284,1987
78,1616,51,1681
104,1695,3,1527
114,1441,700,2190
127,1804,377,2067
83,1736,650,1937
129,1792,11,1490
77,1701,466,2151
83,2070,447,1874
92,2169,694,1426
106,2468,289,1467
105,2159,387,1807
135,2075,504,1870
53,2110,189,2103
64,2064,385,1963
95,1903,281,2194
101,1793,455,2139
98,1475,628,2177
101,1510,593,2106
68,1771,413,2230
106,2196,414,1680
109,2317,429,1605
105,1627,400,2275
170,2219,261,1686
84,1714,313,2224
74,1401,698,2130
67,1365,634,2286
111,1880,264,2110
91,1406,409,2450
116,1587,518,2112
168,2407,432,1420
83,2359,319,1723
60,1703,28,1632
86,1817,460,2037
98,2149,484,1610
131,2042,426,1788
94,1637,718,2068
49,2086,277,1951
57,1866,528,1870
128,2041,324,1934
48,1604,27,1771
76,2104,461,1827
70,1998,442,1883
67,2035,534,1810
62,2316,282,1845
124,1906,261,2051
115,2279,358,1729
61,2123,562,1677
125,1978,695,1580
89,1351,332,2468
70,1384,527,2390
76,2189,476,1618
117,1057,1015,2169
64,1655,667,2072
67,2106,478,1609
64,2037,412,1953
5,683,391,1143
81,1955,552,1859
56,1934,385,2056
75,1664,351,2326
112,1918,625,1813
123,1580,371,2263
101,1790,376,2158
114,2361,375,1576
115,2392,398,1559
70,1432,655,2010
90,1944,783,1623
139,1630,684,1862
127,1763,36,1562
95,2286,610,1464
59,1852,543,2017
136,1726,447,2005
129,1940,355,2006
95,1675,456,2178
76,1777,662,1911
102,1893,319,2149
73,1692,521,2096
44,1602,760,2001
67,1616,20,1707
108,1356,433,2521
170,1581,408,2292
65,2435,465,1408
115,1876,898,1572
130,2047,306,2049
147,1697,687,1838
72,2048,650,1529
71,1374,764,2194
89,2188,398,1687
132,1947,361,1978
92,1710,287,2237
77,2193,312,1816
77,2207,682,1347
70,2082,678,1668
121,2114,333,1827
65,2194,302,1846
72,1725,616,2055
109,1526,16,1706
63,2083,321,1990
68,2306,294,1765
98,2059,343,1951
75,1485,637,2146
79,1932,307,2078
130,1844,409,1919
81,2224,401,1655
117,1865,262,2160
95,2068,422,1696
32,1697,2,1645
185,1678,457,2131
73,1801,589,1875
34,1983,699,1623
87,2262,573,1471
63,2342,253,1860
139,1859,642,1806
82,2106,608,1594
164,1654,735,1874
80,1772,489,2008
91,1290,666,2392
147,2083,570,1670
89,1771,366,2086
95,1758,661,1971
191,1868,407,1950
48,2023,458,1842
78,2285,421,1678
94,1790,72,1450
53,2441,343,1502
115,1489,720,2036
87,1976,452,1863
60,1486,907,1870
59,1688,451,2162
108,2512,280,1511
150,1766,434,2086
58,1156,1224,1956
62,1791,20,1520
76,2015,463,1885
98,2131,262,1895
68,2468,446,1335
87,1726,13,1575
113,1960,632,1868
96,1811,179,2226
88,1996,260,2129
79,2069,446,1742
107,2141,596,1635
68,2266,499,1492
61,1442,923,1938
94,1936,517,1955
93,2336,203,1796
92,1879,249,2065
86,1576,7,1738
61,2071,290,1932
63,2229,528,1589
86,2118,565,1695
118,1904,537,1839
87,1286,722,2344
158,1709,325,2254
89,2077,317,1960
131,1846,22,1488
80,1605,655,2013
67,1822,436,2078
43,1946,716,1772
70,1897,32,1412
165,1775,507,1783
67,2443,151,1830
80,2314,240,1689
58,2150,219,1942
94,2568,423,1392
45,1977,444,1921
122,1970,400,1908
133,2120,351,1685
72,1908,23,1421
118,2077,425,1748
5,700,325,1169
72,1470,421,2442
149,2602,206,1380
79,1998,422,1892
92,1674,512,2175
127,1662,583,2000
90,1573,478,2298
118,1510,553,2255
92,2231,44,1117
104,1658,583,2100
61,1552,14,1824
116,1815,729,1655
106,1971,322,2082
88,2844,213,1293
75,2375,222,1814
46,2461,353,1655
82,1814,796,1705
70,1806,532,2049
201,1750,11,1404
75,1964,555,1797
75,1734,491,2105
156,1710,451,2121
56,2175,428,1778
64,2133,372,1862
86,2576,214,1545
53,2155,598,1649
128,1654,541,2016
75,1551,600,2196
87,2322,674,1342
103,1691,505,2020
71,2189,339,1786
101,1889,426,2041
2,841,312,1075
97,2079,379,1856
85,1802,518,2014
81,2015,391,1857
133,1892,639,1798
105,2157,409,1694
86,1608,803,1813
96,1609,543,2201
72,1929,627,1855
133,1822,413,2073
147,1785,488,1996
78,1820,331,2172
62,2413,389,1583
108,1612,378,2240
63,1952,251,2013
76,1911,533,1906
119,1459,530,2300
93,1882,441,2064
77,2216,444,1732
113,1803,302,2314
85,1590,457,2263
90,2205,278,1851
74,1263,851,2183
50,1761,516,2068
134,2438,386,1476
94,1963,295,2091
42,1643,704,2047
103,2313,508,1472
142,2435,281,1425
85,1560,344,2388
84,1857,382,2077
116,1959,372,2012
116,2237,484,1600
43,2423,276,1560
97,1877,589,1805
45,1515,1132,1744
76,1898,8,1440
82,1860,487,2058
68,2176,444,1859
119,1984,353,1857
67,1988,436,1886
45,2500,309,1481
132,2349,379,1559
117,2020,355,1940
64,1464,647,2228
108,1890,299,2226
117,1833,466,1969
111,1868,416,2019
93,2650,227,1429
93,1807,339,2213
142,1880,412,1999
123,2303,360,1603
152,2045,382,1885
71,1477,51,1753
79,2103,446,1809
101,1703,575,2074
84,1406,895,1920
87,1880,597,1788
69,1627,291,2439
156,1809,241,2186
100,2147,369,1729
159,2018,270,2002
73,2363,356,1683
160,1650,822,1715
73,1632,463,2168
50,1762,12,1458
54,2095,358,1936
88,2502,503,1457
101,1645,588,1927
79,1336,730,2285
80,1718,718,1907
97,1746,228,2330
1,1073,257,823
106,2299,431,1657
44,1828,267,2147
109,2860,442,1149
112,1803,549,1991
72,1572,845,1993
85,1478,396,2329
120,1599,996,1684
95,1717,596,1943
135,1447,255,2638
113,2078,351,1847
119,1714,688,1730
124,2449,268,1585
92,2463,344,1437
68,1873,418,2042
103,2300,430,1580
82,1766,231,2402
82,1832,453,1946
86,2268,435,1556
75,2458,310,1646
122,1311,271,2660
75,2205,369,1753
61,2162,485,1717
87,2718,218,1344
84,1555,380,2485
85,2418,636,1378
3,650,338,1149
120,1847,398,2050
59,1673,301,2255
76,1753,709,1942
103,2052,495,1738
54,1814,710,1894
88,1834,566,1984
165,2012,276,1940
76,1667,668,1974
101,2190,604,1508
83,2009,288,1985
112,2152,273,1865
88,1727,311,2308
95,2222,376,1735
111,1913,657,1510
69,2415,257,1687
39,1421,745,2214
93,2131,392,1801
36,2699,359,1201
141,1575,26,1701
63,1589,790,2015
87,1977,314,2061
64,1840,59,1529
54,2929,233,1267
104,1835,315,2104
85,1498,8,1779
90,1997,557,1781
204,1628,401,2157
102,1922,442,1941
26,2733,226,1512
18,655,447,1070
76,2172,464,1565
71,1796,556,2082
55,1846,357,2103
101,2569,269,1492
94,1609,620,2141
57,2046,540,1843
70,2481,313,1554
69,2526,432,1354
87,2218,477,1673
113,1915,325,2153
53,1734,695,1835
69,2187,378,1770
88,2095,460,1748
105,2483,299,1445
155,1560,691,1941
142,1740,555,1977
57,1721,433,2317
111,1543,6,1710
58,2254,459,1655
53,1504,740,2057
140,2194,618,1519
74,1917,690,1708
92,1925,557,1772
118,1789,427,2003
78,2232,369,1683
149,1964,266,2002
109,1887,582,1913
76,1908,396,1978
80,1781,579,1969
134,2317,472,1671
52,2387,565,1444
51,2273,363,1652
85,1745,337,2223
74,1844,260,2203
75,1886,787,1723
45,1392,30,1964
112,2020,387,1848
160,1911,545,1766
106,1759,540,2029
95,1667,779,1940
168,2251,214,1753
86,1388,1091,1870
148,1465,382,2395
79,2278,233,1708
122,1882,329,2064
114,1934,467,1895
78,1586,690,1995
84,1435,457,2296
124,2424,289,1587
111,2115,347,1936
63,1631,773,1935
95,1477,585,2267
81,2201,526,1574
125,2095,308,1875
60,1583,493,2245
175,1706,666,1850
64,1322,1110,1942
93,2021,816,1525
88,1446,683,2295
76,2111,493,1757
109,2470,250,1527
78,2663,113,1621
120,2232,224,1860
147,1950,410,1864
99,2223,22,1059
103,2180,374,1775
62,1925,979,1511
35,1511,8,1906
111,2153,410,1556
85,1548,827,1817
67,2194,530,1660
99,1463,584,2258
96,2118,284,1892
89,1673,493,2186
147,1789,18,1342
104,1843,602,1828
146,2305,390,1567
71,1549,505,2238
83,1932,365,2072
85,2014,279,2065
66,1857,435,2180
66,1726,693,1804
69,2227,306,1840
94,1561,841,1944
84,1854,638,1702
102,1984,543,1839
119,2246,397,1560
121,1628,800,1902
101,1683,581,2131
75,1278,657,2413
186,1903,318,1920
95,2073,406,1849
65,1983,532,1858
114,1533,1067,1739
137,1898,217,2168
66,1990,468,1962
74,1450,711,2037
109,1912,224,2165
70,2238,598,1474
88,2221,382,1791
76,1879,291,2099
173,2184,315,1750
90,2236,351,1733
104,2510,200,1680
56,2668,352,1354
121,2188,451,1736
98,1751,631,1798
108,2340,501,1566
69,2647,366,1420
114,1947,484,1887
111,1497,288,2500
89,1501,311,2380
193,1872,576,1778
128,1504,1127,1584
80,2487,367,1595
164,1740,685,1907
123,2281,263,1741
85,1853,445,2053
67,2468,330,1557
156,1853,655,1658
94,2008,336,1887
92,1899,313,1954
65,2580,207,1619
72,1703,773,1891
71,2331,278,1675
57,2290,589,1503
75,1606,30,1647
68,1480,521,2397
113,1955,336,2086
64,2168,465,1650
80,1877,421,1988
96,2297,283,1602
119,2071,584,1661
102,1878,422,1984
78,1840,585,1912
130,1469,562,2209
65,1877,852,1580
62,2685,325,1439
51,1933,375,2050
77,2492,372,1414
79,2052,446,1816
72,1976,439,1995
66,2099,451,1694
89,2500,319,1509
77,2148,445,1682
74,2466,399,1462
55,2126,485,1738
99,1540,567,2232
90,1619,391,2175
119,1762,525,2100
93,1872,379,2079
47,2273,254,1866
107,1344,790,2055
135,1940,473,1780
170,1950,354,1721
101,2016,437,1893
120,1943,402,1951
134,2002,494,1688
165,1653,667,1931
128,2204,219,1853
63,1881,23,1381
75,1694,651,1967
86,1740,439,2092
59,2431,219,1850
159,1130,877,2269
82,2051,451,1922
79,1844,6,1474
59,2227,288,1691
96,2075,600,1593
50,1996,509,1805
65,1772,267,2249
81,1764,817,1703
73,2458,497,1396
117,1614,448,2058
66,1697,541,2062
155,2254,280,1779
97,1760,293,2112
107,1600,504,2167
70,1889,529,1912
49,2056,478,1798
78,2133,410,1690
127,2120,320,1816
87,1526,694,2039
119,1740,62,1390
92,1687,878,1660
64,2095,622,1684
94,2110,391,1833
105,1884,140,2235
139,2103,483,1817
106,1841,549,1869
87,1494,422,2485
125,2319,410,1597
100,2273,447,1616
48,2674,373,1352
87,1902,442,1919
65,2087,254,1980
132,1667,81,1565
98,1609,695,2024
146,1466,342,2370
130,2050,274,1858
85,2476,349,1527
45,2484,397,1549
110,2118,213,1964
145,1707,574,1998
83,1821,685,1719
73,2138,447,1680
112,1555,925,1882
144,2378,439,1404
42,1863,497,2099
58,1957,357,1962
100,1509,505,2197
114,2083,389,1860
65,1975,480,1796
115,2114,386,1756
192,1690,278,2210
53,2250,504,1581
110,1252,905,2077
113,1760,284,2279
122,1682,720,1923
84,1354,893,2054
93,1897,190,2045
111,2097,507,1748
130,1848,568,1916
76,1743,440,2085
73,1843,220,2296
99,1234,733,2354
95,2255,558,1455
77,1823,508,1999
138,2356,294,1613
129,2187,388,1743
110,1709,652,1929
155,1416,514,2320
102,2231,527,1525
116,2184,313,1744
62,1526,871,1956
57,1564,8,1769
104,1963,274,2053
51,2057,393,1901
97,2054,501,1826
